PdEId;PdEVersion;ZdCId;ZdCVersion;ZdAId;ZdAVersion;ArRId;ArRVersion;ArTId;ArTVersion
;;60472;60472;47073;47073-60472;3174;1385538-47073;50093581;1169875-1385538
;;73439;1274421;473553;1099323-1274421;19400;1032461-1099323;50116624;1079315-1032461
;;73439;1274421;473553;1099323-1274421;462405;1217662-1099323;50063080;1215992-1217662
;;73439;1274421;43194;1119851-1274421;411411;1274422-1119851;50024525;412481-1274422
;;73439;1274421;43194;1119851-1274421;471476;1076371-1119851;50117843;1110530-1076371
;;73439;1274421;43194;1119851-1274421;472535;1080663-1119851;50118740;1111183-1080663
;;73439;1274421;473554;1099324-1274421;19102;19102-1099324;50005883;1139433-19102
415730;657747;71139;1115729;58578;1238298-1115729;462954;1347973-1238298;50026085;1258123-1347973
415730;657747;71139;1115729;58578;1238298-1115729;22156;1347971-1238298;50025825;1258262-1347971
415730;657747;71139;1115729;463857;1326893-1115729;20099;1305412-1326893;50115028;1260764-1305412
415730;657747;71139;1115729;463853;1119671-1115729;26757;1338158-1119671;50114393;1259286-1338158
415730;657747;71139;1115729;43238;1347565-1115729;471935;1078212-1347565;50117175;1110806-1078212
415730;657747;71139;1115729;43238;1347565-1115729;471521;1076556-1347565;50117796;1110557-1076556
415730;657747;71139;1115729;43238;1347565-1115729;472325;1079819-1347565;50116468;1200442-1079819
415730;657747;71139;1115729;43238;1347565-1115729;472451;1080320-1347565;50118830;1111125-1080320
415730;657747;71139;1115729;43238;1347565-1115729;472964;1082432-1347565;50116249;1111453-1082432
415730;657747;71139;1115729;43238;1347565-1115729;472888;1082120-1347565;50116327;1111408-1082120
415730;657747;71139;1115729;43238;1347565-1115729;471742;1077441-1347565;50117560;1110692-1077441
415730;657747;71139;1115729;43238;1347565-1115729;472895;1082148-1347565;50116334;1200391-1082148
415730;657747;71139;1115729;43238;1347565-1115729;471552;1076680-1347565;50117765;1110574-1076680
415730;657747;71139;1115729;58715;1326892-1115729;28435;1305375-1326892;50115010;1259112-1305375
;;70642;1385239;54932;1385238-1385239;25377;1385232-1385238;50146600;1268153-1385232
;;71286;71286;45446;45446-71286;22764;1385216-45446;50115111;1260709-1385216
;;71286;71286;45447;45447-71286;41133;1086916-45447;50024612;412037-1086916
;;480344;1219507;480176;1219506-1219507;480182;1219504-1219506;50147669;1263486-1219504
;;63164;63164;45030;45030-63164;9924;1385179-45030;50126239;1262080-1385179
;;420565;737340;420564;737338-737340;420566;1385166-737338;50146453;1329731-1385166
;;417815;700139;47246;47246-700139;27879;1385163-47246;50141422;1268517-1385163
;;71714;71714;45653;45653-71714;9230;1385160-45653;50144749;1276385-1385160
;;74091;74091;58977;58977-74091;40428;1361936-58977;50146264;1268165-1361936
;;67892;1385156;50875;1385155-1385156;36362;1385152-1385155;50125554;1261569-1385152
;;72506;72506;45038;45038-72506;19028;1385148-45038;50005800;1139468-1385148
;;73097;1119887;43223;1119886-1119887;472393;1080082-1119886;50118786;1111090-1080082
;;73097;1119887;43223;1119886-1119887;41022;41022-1119886;50024455;412281-41022
;;70313;1100710;473621;1100593-1100710;23344;891307-1100593;50124903;1268804-891307
;;70313;1100710;473621;1100593-1100710;37195;1385095-1100593;50124952;1268761-1385095
;;483874;1385099;473571;1100660-1385099;23368;23368-1100660;50118759;1080780-23368
;;483874;1385099;473571;1100660-1385099;411303;1100657-1100660;50117665;1077116-1100657
;;483874;1385099;473571;1100660-1385099;411303;1100657-1100660;50025081;1032215-1100657
;;70499;70499;58363;58363-70499;25791;1385083-58363;50122450;1331687-1385083
;;74192;1365121;45064;45064-1365121;24245;1365118-45064;50125957;1269578-1365118
;;71750;71750;45065;45065-71750;21916;1348069-45065;50026903;1257674-1348069
;;71750;71750;473770;1102899-71750;23655;1385057-1102899;50114703;1260961-1385057
;;71750;71750;473770;1102899-71750;36512;1005034-1102899;50114738;1260937-1005034
;;71750;71750;473770;1102899-71750;26294;1214341-1102899;50121391;1260583-1214341
;;71405;71405;45510;45510-71405;39721;1351513-45510;50114492;1276882-1351513
;;71405;71405;45510;45510-71405;22814;1351516-45510;50114510;1276871-1351516
;;71400;1183231;59387;59387-1183231;26191;1385048-59387;50141410;1264296-1385048
;;71400;1183231;45070;45070-1183231;39447;1385042-45070;50145795;1263670-1385042
;;71742;71742;58341;58341-71742;24047;1385018-58341;50123054;1265973-1385018
;;71742;71742;58341;58341-71742;424826;1238523-58341;50146509;1265062-1238523
;;462751;1016082;462750;1016290-1016082;462749;1384994-1016290;50146932;1293018-1384994
;;71012;1370149;47023;1320657-1370149;427201;1384991-1320657;50143491;1262646-1384991
;;69749;1352528;46018;1352521-1352528;30173;1352525-1352521;50141713;1364288-1352525
;;72537;1384975;44648;44648-1384975;22687;1210859-44648;50123434;1266968-1210859
;;72537;1384975;44648;44648-1384975;37662;1384979-44648;50145525;1266284-1384979
;;72353;72353;46459;46459-72353;2260;1384954-46459;50143789;1263909-1384954
;;72353;72353;46459;46459-72353;40175;40175-46459;50143782;1263915-40175
;;70976;70976;57244;57244-70976;23864;1384945-57244;50126248;1273872-1384945
;;70839;659456;415855;661207-659456;36771;1384924-661207;50123734;1364584-1384924
;;70839;659456;415855;661207-659456;7925;1216954-661207;50012591;1384242-1216954
;;74022;1384917;44723;44723-1384917;413287;557377-44723;50123576;1384226-557377
;;70888;658854;57069;57069-658854;27455;1384884-57069;50142831;936516-1384884
;;72041;1106463;473891;1328317-1106463;472905;1082190-1328317;50116340;1384871-1082190
;;72041;1106463;473891;1328317-1106463;483868;1384837-1328317;50116857;1384836-1384837
;;72041;1106463;473891;1328317-1106463;27545;894195-1328317;50123665;1266941-894195
;;72041;1106463;473891;1328317-1106463;483854;1384775-1328317;50116874;1384774-1384775
;;72041;1106463;44201;1106464-1106463;471749;1077469-1106464;50117553;1110697-1077469
;;72041;1106463;44201;1106464-1106463;472656;1081166-1106464;50118678;1111262-1081166
;;73798;73798;473485;1097405-73798;427757;1033498-1097405;50116096;1032086-1033498
